Time,Node,Type,Destination,Retransmitter,Metric,SeqNumber
+2174564257.0ns,0,Add Reactive,00:00:00:00:00:13,00:00:00:00:00:1d,1912,4
+2175625247.0ns,0,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1d,3646,3
+2175626902.0ns,15,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:0d,133,5
+2175627012.0ns,56,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,887,3
+2176689420.0ns,53,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:10,241,5
+2178019773.0ns,59,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:21,234,3
+2178019773.0ns,59,Add Reactive,00:00:00:00:00:21,00:00:00:00:00:21,58,3
+2178019773.0ns,59,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:21,234,3
+2178019815.0ns,10,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:21,254,3
+2178019815.0ns,10,Add Reactive,00:00:00:00:00:21,00:00:00:00:00:21,78,3
+2178019815.0ns,10,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:21,254,3
+2178786350.0ns,32,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,65,5
+2178787378.0ns,33,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:36,294,5
+2178788607.0ns,49,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:39,1831,3
+2180017978.0ns,34,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:39,372,3
+2180017978.0ns,34,Add Reactive,00:00:00:00:00:39,00:00:00:00:00:39,55,3
+2180017978.0ns,34,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:39,372,3
+2180764626.0ns,56,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,887,4
+2180765901.0ns,15,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:14,114,4
+2180766833.0ns,32,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:0b,136,5
+2181829479.0ns,50,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:32,2816,3
+2182891555.0ns,49,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:39,1831,4
+2183952409.0ns,49,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:22,409,5
+2183952805.0ns,28,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:33,3703,3
+2185014680.0ns,50,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:32,2816,4
+2185014831.0ns,31,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:21,182,5
+2185015251.0ns,53,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:10,222,4
+2187855558.0ns,31,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:21,253,5
+2188918000.0ns,50,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:32,1394,5
+2189979066.0ns,0,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:1d,4590,3
+2191080912.0ns,33,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:36,275,4
+2193203637.0ns,49,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:22,390,4
+2194264887.0ns,28,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:33,3703,4
+2196298798.0ns,28,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:20,1089,5
+2197399293.0ns,0,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:1d,4590,4
+2198480283.0ns,0,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:1d,1976,5
+2199730424.0ns,45,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,447,3
+2199730424.0ns,45,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,61,3
+2199730424.0ns,45,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,447,3
+2199730647.0ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,460,3
+2199730647.0ns,43,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,74,3
+2199730647.0ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,460,3
+2200476905.0ns,59,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:2e,894,5
+2200661298.0ns,22,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:1f,493,3
+2200661298.0ns,22,Add Reactive,00:00:00:00:00:1f,00:00:00:00:00:1f,136,3
+2200661298.0ns,22,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:1f,493,3
+2201427942.0ns,30,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:17,887,3
+2201557482.0ns,32,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:3c,959,5
+2202617937.0ns,31,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:21,1076,5
+2203679623.0ns,28,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:33,2281,5
+2204800118.0ns,0,Add Reactive,00:00:00:00:00:0d,00:00:00:00:00:1d,3168,5
+2205902399.0ns,49,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:1f,1774,3
+2205903041.0ns,59,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,952,4
+2206985472.0ns,32,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:3c,1017,4
+2207111902.0ns,55,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,1568,3
+2207111902.0ns,55,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,205,3
+2207111902.0ns,55,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,1568,3
+2207112111.0ns,40,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,1433,3
+2207112111.0ns,40,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,70,3
+2207112111.0ns,40,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,1433,3
+2207858408.0ns,34,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:38,887,3
+2208106500.0ns,28,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:20,1160,5
+2209169284.0ns,56,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:23,1774,3
+2209376834.0ns,9,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2e,506,3
+2209376834.0ns,9,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2e,506,3
+2210163482.0ns,45,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:0a,131,5
+2210230774.0ns,34,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:29,887,3
+2211243963.0ns,59,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:2e,1025,5
+2211292145.0ns,49,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:39,2718,3
+2212354481.0ns,28,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:20,1983,5
+2212782114.0ns,57,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:29,1541,3
+2212782114.0ns,57,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:29,108,3
+2212782114.0ns,57,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:29,1541,3
+2213435784.0ns,31,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:21,1134,4
+2213588628.0ns,40,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:3a,887,3
+2214496357.0ns,28,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:20,2041,4
+2215556852.0ns,0,Add Reactive,00:00:00:00:00:0b,00:00:00:00:00:1d,2047,5
+2215559141.0ns,56,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:23,1774,3
+2216620543.0ns,50,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:32,1375,4
+2216620631.0ns,34,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:29,1774,3
+2217682307.0ns,50,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:32,2759,3
+2217851519.0ns,44,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2c,665,3
+2217851519.0ns,44,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2c,665,3
+2217851523.0ns,41,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2c,598,3
+2217851523.0ns,41,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,138,3
+2217851523.0ns,41,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2c,598,3
+2218743373.0ns,0,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:1d,2870,5
+2218744624.0ns,56,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:23,2661,3
+2218744772.0ns,32,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:3c,1090,5
+2219808183.0ns,49,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:39,2718,3
+2219826847.0ns,43,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:2d,887,4
+2220868862.0ns,50,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:32,3703,3
+2220927551.0ns,59,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:2c,1839,4
+2221950938.0ns,49,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:39,3605,3
+2222008128.0ns,32,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:3c,1904,4
+2223068583.0ns,31,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:21,1207,5
+2223070083.0ns,28,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:33,2262,4
+2224132886.0ns,43,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:2a,924,4
+2224280774.0ns,27,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:14,1642,3
+2224280774.0ns,27,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:14,77,3
+2225028857.0ns,50,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:32,3703,3
+2225029992.0ns,19,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:1c,74,5
+2226841210.0ns,59,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:2c,1876,4
+2226880564.0ns,15,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:14,188,5
+2227941234.0ns,53,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:10,296,5
+2227943132.0ns,31,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:21,2021,4
+2229003705.0ns,28,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:20,2114,5
+2230104851.0ns,28,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:20,2928,4
+2231165346.0ns,0,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:1d,2928,4
+2232246336.0ns,0,Add Reactive,00:00:00:00:00:14,00:00:00:00:00:1d,3149,4
+2232247583.0ns,32,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:3c,1941,4
+2233328926.0ns,0,Add Reactive,00:00:00:00:00:0a,00:00:00:00:00:1d,3001,5
+2234409916.0ns,0,Add Reactive,00:00:00:00:00:2d,00:00:00:00:00:1d,3815,4
+2235491729.0ns,50,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:32,4590,3
+2235721034.0ns,39,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2a,656,3
+2235721034.0ns,39,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:2a,58,3
+2235721034.0ns,39,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2a,656,3
+2235721104.0ns,35,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:2a,1700,3
+2235721104.0ns,35,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:2a,1700,3
+2236467520.0ns,41,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:28,887,6
+2236552300.0ns,28,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:33,3646,3
+2237612795.0ns,0,Add Reactive,00:00:00:00:00:17,00:00:00:00:00:1d,4533,3
+2237613941.0ns,33,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:36,349,5
+2238676465.0ns,41,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:24,887,4
+2238694368.0ns,49,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:22,464,5
+2239736948.0ns,43,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:2a,1811,6
+2239755047.0ns,50,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:32,1449,5
+2240815618.0ns,28,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:33,4590,3
+2241878421.0ns,43,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:2a,1811,4
+2242920859.0ns,53,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:22,1162,3
+2242920859.0ns,53,Add Reactive,00:00:00:00:00:22,00:00:00:00:00:22,57,3
+2242920859.0ns,53,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:22,1162,3
+2242959125.0ns,59,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:2c,2763,6
+2243856082.0ns,55,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,577,3
+2243856082.0ns,55,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,577,3
+2243856291.0ns,40,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:23,434,3
+2243856291.0ns,40,Add Reactive,00:00:00:00:00:23,00:00:00:00:00:23,62,3
+2243856291.0ns,40,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:23,434,3
+2244040533.0ns,59,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:2c,2763,4
+2244622588.0ns,34,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:38,887,4
+2244623157.0ns,33,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:36,53,5
+2245685985.0ns,32,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:3c,2828,6
+2245724928.0ns,56,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:23,1774,4
+2246786418.0ns,34,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:29,887,4
+2246786425.0ns,49,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:22,168,5
+2246787139.0ns,32,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:3c,2828,4
+2248598970.0ns,31,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:21,2058,4
+2249662321.0ns,56,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:23,1774,4
+2249808254.0ns,45,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,289,3
+2249808254.0ns,45,Add Reactive,00:00:00:00:00:3c,00:00:00:00:00:3c,55,3
+2249808254.0ns,45,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,289,3
+2249808477.0ns,43,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:3c,342,3
+2249808477.0ns,43,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:3c,342,3
+2250554735.0ns,59,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:2e,894,6
+2251011610.0ns,57,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:29,542,3
+2251011610.0ns,57,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:29,542,3
+2251615767.0ns,31,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:21,2945,6
+2251778124.0ns,40,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:3a,887,4
+2252677857.0ns,59,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:2c,952,5
+2252860258.0ns,50,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:32,1153,5
+2253921946.0ns,28,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:20,2965,4
+2253923087.0ns,34,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:29,1774,4
+2254983847.0ns,32,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:3c,959,6
+2255044569.0ns,49,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:39,2718,4
+2256105819.0ns,28,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:33,4590,3
+2256106991.0ns,31,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:21,2945,4
+2257168371.0ns,32,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:3c,1017,5
+2257170342.0ns,56,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:23,2661,4
+2258251782.0ns,49,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:39,2718,4
+2258252266.0ns,28,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:33,5477,3
+2259314204.0ns,31,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:21,1076,6
+2260375272.0ns,0,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:1d,5477,3
+2261436993.0ns,31,Add Reactive,00:00:00:00:00:2c,00:00:00:00:00:21,1134,5
+2261437738.0ns,49,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:39,3605,4
+2263560134.0ns,28,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:20,3852,6
+2264620629.0ns,0,Add Reactive,00:00:00:00:00:2a,00:00:00:00:00:1d,3852,4
+2265682442.0ns,50,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:32,3703,4
+2265851923.0ns,7,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:28,715,3
+2265851923.0ns,7,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:28,715,3
+2265852087.0ns,20,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:28,752,3
+2265852087.0ns,20,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:28,96,3
+2265852087.0ns,20,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:28,752,3
+2266618410.0ns,39,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:08,1277,6
+2267388141.0ns,50,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:32,3703,4
+2267738896.0ns,41,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:28,2164,6
+2268469499.0ns,50,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:32,4590,4
+2268859379.0ns,43,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:2a,3088,6
+2269758596.0ns,53,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:22,401,3
+2269758596.0ns,53,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:22,401,3
+2269758784.0ns,36,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:22,348,3
+2269758784.0ns,36,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:22,348,3
+2269940083.0ns,59,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:2c,4040,6
+2269941519.0ns,39,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:15,887,7
+2271004444.0ns,0,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:1d,5477,3
+2271960479.0ns,24,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:15,836,3
+2271960479.0ns,24,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:15,836,3
+2271960521.0ns,21,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:15,860,3
+2271960521.0ns,21,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:15,860,3
+2271960692.0ns,5,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:15,929,3
+2271960692.0ns,5,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:15,177,3
+2271960692.0ns,5,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:15,929,3
+2272105434.0ns,0,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:1d,6364,3
+2272875213.0ns,20,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:19,73,7
+2273186517.0ns,28,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:33,2336,5
+2273956205.0ns,20,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:16,887,6
+2274247012.0ns,0,Add Reactive,00:00:00:00:00:28,00:00:00:00:00:1d,4739,6
+2275017539.0ns,20,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:06,935,8
+2275308095.0ns,28,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:33,2040,5
+2276078190.0ns,39,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:15,960,7
+2276388590.0ns,0,Add Reactive,00:00:00:00:00:1c,00:00:00:00:00:1d,3223,5
+2277159492.0ns,39,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:15,1774,6
+2277449673.0ns,28,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:33,4590,4
+2278240794.0ns,39,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:15,1822,8
+2278530168.0ns,0,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:1d,2927,5
+2278530780.0ns,33,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:25,73,4
+2279591731.0ns,49,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:22,188,4
+2279593461.0ns,41,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:28,1774,7
+2279593608.0ns,32,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:3c,4105,6
+2280655441.0ns,31,Add Reactive,00:00:00:00:00:08,00:00:00:00:00:21,4222,6
+2280655616.0ns,43,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:2a,2698,7
+2280656254.0ns,50,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:32,1173,4
+2281738063.0ns,0,Add Reactive,00:00:00:00:00:38,00:00:00:00:00:1d,5477,4
+2281739455.0ns,59,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:2c,3650,7
+2282801356.0ns,41,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:28,1847,7
+2282821914.0ns,28,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:33,4590,4
+2283883060.0ns,28,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:20,3852,4
+2284839871.0ns,5,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:16,914,3
+2284839871.0ns,5,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:16,54,3
+2284839871.0ns,5,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:16,914,3
+2284839999.0ns,4,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:16,1747,3
+2284944202.0ns,28,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:33,5477,4
+2285586379.0ns,21,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:06,887,9
+2286065344.0ns,28,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:33,2060,4
+2286646875.0ns,20,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:16,1774,9
+2286647927.0ns,41,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:28,2661,6
+2287709508.0ns,32,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:3c,3715,7
+2287709605.0ns,39,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:15,2661,9
+2287710993.0ns,33,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:36,53,6
+2288771516.0ns,43,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:2a,2771,7
+2288772530.0ns,0,Add Reactive,00:00:00:00:00:29,00:00:00:00:00:1d,5477,4
+2288772773.0ns,21,Add Reactive,00:00:00:00:00:05,00:00:00:00:00:05,158,10
+2289853963.0ns,0,Add Reactive,00:00:00:00:00:24,00:00:00:00:00:1d,4739,4
+2289855453.0ns,59,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:2c,3723,7
+2290916485.0ns,31,Add Reactive,00:00:00:00:00:15,00:00:00:00:00:21,3832,7
+2290917078.0ns,43,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:2a,3585,6
+2290918131.0ns,49,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:22,168,6
+2291978575.0ns,59,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:2c,4537,6
+2293059152.0ns,32,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:3c,3788,7
+2293060394.0ns,0,Add Reactive,00:00:00:00:00:3a,00:00:00:00:00:1d,6364,4
+2294122207.0ns,50,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:32,1153,6
+2294182129.0ns,20,Add Reactive,00:00:00:00:00:05,00:00:00:00:00:16,1045,10
+2295182778.0ns,28,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:33,2040,6
+2295262780.0ns,39,Add Reactive,00:00:00:00:00:05,00:00:00:00:00:15,1932,10
+2296325705.0ns,0,Add Reactive,00:00:00:00:00:25,00:00:00:00:00:1d,2947,4
+2297282698.0ns,2,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:06,991,3
+2297282698.0ns,2,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:06,62,3
+2297282698.0ns,2,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:06,991,3
+2297282800.0ns,16,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:06,1059,3
+2297282800.0ns,16,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:06,1059,3
+2298030606.0ns,31,Add Reactive,00:00:00:00:00:19,00:00:00:00:00:21,3905,7
+2299027317.0ns,14,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:05,1855,3
+2299111674.0ns,0,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:1d,2927,6
+2299793914.0ns,5,Add Reactive,00:00:00:00:00:03,00:00:00:00:00:03,887,10
+2300711217.0ns,15,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:36,1223,3
+2300711217.0ns,15,Add Reactive,00:00:00:00:00:36,00:00:00:00:00:36,61,3
+2300711217.0ns,15,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:36,1223,3
+2301517887.0ns,53,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:10,108,5
+2301916278.0ns,41,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:28,2709,8
+2302618293.0ns,33,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:36,161,5
+2302978142.0ns,21,Add Reactive,00:00:00:00:00:03,00:00:00:00:00:06,1774,10
+2303738720.0ns,49,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:22,276,5
+2304039848.0ns,4,Add Reactive,00:00:00:00:00:0f,00:00:00:00:00:0f,54,12
+2304040093.0ns,43,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:2a,3633,8
+2305101826.0ns,41,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:28,3548,9
+2305103909.0ns,50,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:32,1261,5
+2306165272.0ns,28,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:33,2148,5
+2306167518.0ns,5,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:11,887,8
+2307229956.0ns,59,Add Reactive,00:00:00:00:00:06,00:00:00:00:00:2c,4585,8
+2308311606.0ns,41,Add Reactive,00:00:00:00:00:05,00:00:00:00:00:28,2819,10
+2308311775.0ns,0,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:1d,3035,5
+2308312243.0ns,21,Add Reactive,00:00:00:00:00:11,00:00:00:00:00:06,1774,8
+2309397332.0ns,28,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:20,1983,6
+2309414188.0ns,21,Add Reactive,00:00:00:00:00:0f,00:00:00:00:00:05,212,12
+2310476885.0ns,32,Add Reactive,00:00:00:00:00:16,00:00:00:00:00:3c,4602,6
+2310477827.0ns,0,Add Reactive,00:00:00:00:00:2e,00:00:00:00:00:1d,2870,6
+2311539862.0ns,20,Add Reactive,00:00:00:00:00:03,00:00:00:00:00:16,2661,10
+2311707937.0ns,15,Add Reactive,00:00:00:00:00:01,00:00:00:00:00:36,462,3
+2311707937.0ns,15,Add Proactive,00:00:00:00:00:01,00:00:00:00:00:36,462,3
+2312454607.0ns,53,Add Reactive,00:00:00:00:00:10,00:00:00:00:00:10,108,6
